airline_sentiment,text,geographic_location,ethnicity,age,device
neutral,"@USAirways @AmericanAir no, don't leave me!!!","Santa Ana, CA",Hispanic,15,mobile
negative,@SouthwestAir got a text my flight was Cancelled Flightled! Now what do I do :/?? Help please!!!,"Newark, NJ",African American,47,laptop
positive,@SouthwestAir Thank you for your help Adam and to the awesome gate agents at B12 in LAS for getting us home!,"Sacramento, CA",Caucasian,45,mobile
positive,@AmericanAir thanks for the show! 👍,"Miami, FL",Hispanic,64,mobile
negative,@united Why announce it is for rollers at all? If I want to put a coat in there isn't that my choice?  How about all gate checked? Thx,"Madison, WI",Native American,59,tablet
negative,"@USAirways @MarciaVeronicaa she missed her uncle's funeral, and you ""hope"" they can find another flight. That's very considerate of you.","Columbus, OH",Hispanic,59,mobile
negative,@JetBlue we've been delayed and delayed here in Palm beach... Need to head to Westchester. Can you give me some info?,"Pittsburgh, PA",Caucasian,50,laptop
negative,@USAirways Why did you put my luggage on the plane after mine? Then not deliver it to me like you said? Now show the claim as closed online?,"Colorado Springs, CO",Caucasian,35,mobile
negative,@AmericanAir never got an update and we had the worst communication from u. Our flight delay was mechanical and not a word. #poorservice,"Seattle, WA",Hispanic,49,mobile
negative,@united Another awful experience and Victoria at the check in desk in STL could not have been more rude and condescending.,"Fort Worth, TX",Caucasian,49,mobile
negative,@AmericanAir finally at final destination but not w/o extra significant travel expenses &amp; missed work. How can you resolve this experience?,"Virginia Beach, VA",Asian,36,tablet
neutral,"@USAirways @HutchinsJim Yes, I made the flight and got my workout in too.","Mesa, AZ",Hispanic,24,tablet
negative,@USAirways and when will one of these agents be available to speak?,"Denver, CO",Caucasian,40,mobile
negative,@USAirways you are the worst.,"Chula Vista, CA",Caucasian,59,mobile
positive,@SouthwestAir finally got through. Thanks!,"Norfolk, VA",African American,33,tablet
positive,"@AmericanAir - yep , they've been good.  Now can you make that 1535 flight to mci wait just a tick....😃","Fort Wayne, IN",African American,42,tablet
negative,"@united shes been rescheduled for today, but with the frigid cold, being a possible reason for ""maintenance"" it could be the same issue 2day","St. Louis, MO",Caucasian,23,laptop
negative,@JetBlue you're lucky we're still flying you after today's landing gear failure. Get your act together and help us sit with our kids!,"Miami, FL",Asian,37,mobile
positive,@JetBlue haha thanks Jetblue👌☺️,"New Orleans, LA",Caucasian,63,tablet
negative,"@USAirways due to your expensive change fees either. Out of all the airlines, we chose yours, all do you could screw us. STRANDED!! No help!","Newark, NJ",African American,49,laptop
negative,@united flying lax to Sfo and system won't let me check in. Your site tells me to do it through @AirCanada and they tell me through you.,"Akron, OH",Hispanic,49,mobile
negative,@united No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.,"Kansas City, MO",Hispanic,27,tablet
positive,@SouthwestAir oh I see what you did there! Thanks for supporting #PadresST.,"Fort Worth, TX",Caucasian,19,mobile
neutral,"@united Yesterday, I'm sorted now.","Chicago, IL",Caucasian,39,laptop
negative,@AmericanAir there is no local agent! There is no person to answer our questions and their phone service is terrible.,"Washington, D.C.",African American,44,laptop
neutral,"@USAirways  I just reserved a flight with my companion certificate, where do I mail the certificate for verification???? THX!!!","Long Beach, CA",African American,55,laptop
negative,@United #1758 now going in 40 min waiting for other plane to vacate gate. #findanothergate,"Las Vegas, NV",African American,26,tablet
negative,@USAirways please hogs my next flight for me! I'm waiting on a bus to get me off one plane so I can run to the other. It leaves in two min!,"Long Beach, CA",Caucasian,49,laptop
neutral,@united I sent an email describing my experience. Looking forward to a follow up to hopefully make it right.,"Akron, OH",Hispanic,35,mobile
negative,"@SouthwestAir According to TV passenger interviews, the landing was far from ""uneventful"" with heavy (panic) breaking to","Virginia Beach, VA",African American,26,tablet
negative,"@AmericanAir $600 Late Flightr, 2 complete itinerary changes, and lost work and time, but yeah ""I"" got it rebooked","Madison, WI",African American,40,mobile
positive,@AmericanAir first ride on new 737-800 with new interior and in seat video. Nice improvement! #Newplanesmell http://t.co/dJJjN9sLHT,"Oakland, CA",Hispanic,49,mobile
positive,@SouthwestAir Gracias... appreciate that!,"Milwaukee, WI",Caucasian,50,tablet
neutral,@USAirways what are the odds you can get me on a flight with delta so I can actually get to Orlando today?? #2daysLate Flight,"Henderson, NV",Hispanic,54,mobile
negative,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...,"Tucson, AZ",African American,64,laptop
neutral,"“@AmericanAir: @TilleyMonsta George, that doesn't look good. Please follow this link to start the refund process: http://t.co/4gr39s91Dl”😂","Madison, WI",Hispanic,35,tablet
negative,“@SouthwestAir: @TinaIsBack I'm so sorry for your frustration. Did you get rebooked? ^SW” I've been rebooked 4 times!! Still stuck!! #SMH,"San Diego, CA",African American,49,tablet
negative,.@USAirways It was this saturday during all the snow in the DC area.  Excited the flight was not Cancelled Flightled but sad he went missing.,"Indianapolis, IN",Hispanic,36,laptop
negative,"@AmericanAir has Cancelled Flighted their last 3 flight into SHV tonight &amp; all flights for tomorrow, Feb. 23, out of SHV and multiple flight into SHV.","St. Louis, MO",African American,36,laptop
negative,@USAirways trying to Cancelled Flight a flight urgently...get hung up on twice??? Sweet refund policy,"Dallas, TX",Caucasian,49,mobile
negative,"@JetBlue hard to tell, but was told wifi only worked for one side of the plane.","Phoenix, AZ",African American,36,mobile
negative,@united employees almost seem happy when delivery terrible customer service.,"Lincoln, NE",African American,15,tablet
neutral,@JetBlue when I check in tomorrow morning for my flight on wens can I automatically add it to passbook?,"Mesa, AZ",African American,42,laptop
positive,@USAirways connection made. Thanks again this week. #daddyshome,"San Francisco, CA",Asian,56,laptop
negative,@AmericanAir I need an answer why we can't get into Wichita Falls.,"Jacksonville, FL",African American,64,laptop
negative,"@JetBlue yes, well they are operating outside of your terminal and targeting vulnerable passengers. No better than thieves.","Rochester, NY",African American,61,mobile
neutral,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/5t4FpCGREJ,"Akron, OH",African American,19,laptop
negative,@JetBlue 5hrs on Tarmac yest b4 Cancelled Flight @12am.Today 3+ hr delay. Why not send txt/email re: JFK closed &amp; saved all trip 2 sit @airport again?,"San Francisco, CA",Asian,36,laptop
neutral,@JetBlue while in Haiti Id do food distribution for hundreds of hungry kids in nearby villages. #flyingitforward http://t.co/lTf2quD3Xc,"San Antonio, TX",African American,37,mobile
neutral,@AmericanAir how are the runways at DFW? Will you be flying Late Flightr today? Thanks.,"Charlotte, NC",Hispanic,19,tablet
negative,"@united nice your app says US 4972 delayed by weather.  Pilot says waiting on fuel.  One in ur control, one not","Colorado Springs, CO",African American,65,tablet
negative,"@united  4348 soon going to have more wait time for a gate, in empty MSP airport than it was in flight  50 min and still counting...","Miami, FL",Hispanic,15,tablet
positive,@SouthwestAir Already signed up!  Thanks!  Looking forward to trying the Southwest experience.,"Tucson, AZ",Hispanic,33,tablet
neutral,@VirginAmerica do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt;/3,"Corpus Christi, TX",Caucasian,61,laptop
negative,@AmericanAir  your customer service is deplorable. I am disgusted in your company and the ignorant people on the phones for lost baggage.,"Baltimore, MD",African American,58,mobile
neutral,@united flight 435,"Garland, TX",Hispanic,20,mobile
negative,@JetBlue People kept saying it was due to weather but there were flights going directly to boston even after our flight.,"Akron, OH",Hispanic,30,mobile
neutral,STAHHPPP!!! RT @JetBlue: Our fleet's on fleek. http://t.co/VHFJGneOZO,"Raleigh, NC",African American,43,laptop
neutral,@SouthwestAir why must the 4:45pm nonstop BOS-BNA flight stop running after August 7???,"Lubbock, TX",African American,49,mobile
neutral,"@VirginAmerica Done, but I need the receipt ASAP. Could you please help? #150219-000114","Hialeah, FL",Caucasian,56,tablet
neutral,@AmericanAir what name and department does it come under? Thanks,"Oklahoma City, OK",Asian,52,mobile
negative,"@united instead of making  seats smaller/thinner so u can jam more people on a flight,u should concentrate on maint &amp; happy customers","Chandler, AZ",Hispanic,65,mobile
negative,"@united agent Rick Clifton in SEA-HOU , told him my father is dying and needed to get my handbag on the cabin. he did nothing #shameful","Louisville, KY",Hispanic,43,tablet
negative,"@americanair flight veers off icy runway at @dfwairport. Most DFW flights Cancelled Flighted Monday, Flightaware says. http://t.co/atwyiFh6Zy","Louisville, KY",Hispanic,52,tablet
negative,@AmericanAir there's a direct from Miami w a seat but u rebooked niece Tuesday. Can't get through on phones? #customerservicefail,"Chandler, AZ",Asian,51,mobile
neutral,"@SouthwestAir haha...yeah i did, just making a joke","Plano, TX",Caucasian,18,laptop
negative,"@united you should change your name to United Incompetence. No flight until Monday, have to take a 7 hour drive now to get to my flight!","Lexington, KY",African American,49,laptop
neutral,@SouthwestAir seems like you could make more money by opening up seats on a more desirable flight.,"Chandler, AZ",African American,41,tablet
neutral,@AmericanAir when will you be issuing a weather advisory for RDU?? the entire state of NC has shut down from the overnight winter storm.,"Las Vegas, NV",Hispanic,47,laptop
negative,.@USAirways I did but the more eyes I have looking for Pandu the better chance I have of bringing him home.,"Phoenix, AZ",Hispanic,51,laptop
neutral,@VirginAmerica can we make every VX plane with #nerdbird? Why should Austin be the only one getting nerd love?,"Portland, OR",Hispanic,31,tablet
positive,@SouthwestAir has the smoooothest flight attendants. #SouthwestSmoothie http://t.co/Vr9k180LaI,"Saint Paul, MN",African American,36,tablet
neutral,@USAirways Bag policy says stroller OR car seat.  We need to bring 2 car seats and 1 stroller.  Should I just call for details?,"Charlotte, NC",Caucasian,15,laptop
negative,@united just texted me to say flight is delayed due to air traffic control. BS! They pulled the plane in Late Flight #lies,"Colorado Springs, CO",African American,44,laptop
neutral,@united Thanks!  Good to know.,"Laredo, TX",African American,41,laptop
negative,"@USAirways  redeemed themselves!  Flight out at 7:44!!! Had to call and negotiate,  but thank the Lord I'm heading home!!!!!","Denver, CO",African American,24,laptop
positive,@USAirways  thank you! Glad to be heading home! Great people at your call center!,"Omaha, NE",Caucasian,55,mobile
negative,@SouthwestAir i just recieved an email from your memphis station hopefully they have my bag.,"Laredo, TX",African American,15,mobile
positive,@united have reported it.  Still in Istanbul at the moment apparently.  On the other plane haha.  Hats off to the pilot!,"Pittsburgh, PA",Hispanic,49,laptop
negative,@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam,"Aurora, CO",Hispanic,60,laptop
negative,@SouthwestAir please do something about the speed of your WiFi connections on your planes.  It might as well be non-existent.,"Omaha, NE",Caucasian,49,mobile
positive,@AmericanAir exceptional customer service from AA - my misplaced item was waiting for me at checkin followed by a smooth flight. Thank you!,"Houston, TX",African American,15,laptop
positive,"@AmericanAir Haha I had a boarding pass for 12B, was boarding the plane and the gate agent told me to go to 41G. I'm here now. No worries.","San Francisco, CA",Caucasian,64,mobile
negative,@united Thanks but why did this occur? You guys had 3 hours extra to get my bag on due to your delay. So that's 7 hours you had. #fail!,"Raleigh, NC",Caucasian,26,mobile
negative,@AmericanAir AA I need a Hail Mary. How do I get from Dallas to Joplin JLN in the next 14 hours. Willing to fly to other airports and drive,"Cincinnati, OH",African American,49,mobile
negative,@AmericanAir narrowly made standby...lots of snags this trip!,"Portland, OR",African American,58,laptop
negative,@SouthwestAir needed my flight info so I can add my rapid rewards to my flight ... First time I have flown with SW - won't do it again #mad,"New York, NY",African American,25,tablet
negative,@USAirways agent won't hold for connection arriving Late Flight. 7 min before departure time but 3 min too Late Flight. Flt 1903 gate c19. Disappointed,"Tampa, FL",Asian,33,laptop
neutral,@USAirways I have corporate-paid travel in April. Is it possible to purchase an upgrade to first class now?,"Oakland, CA",African American,24,mobile
negative,@USAirways And the number your agent gave me to call says you are not open? And the main number goes to a computer saying it is delivered?,"Sacramento, CA",Hispanic,51,laptop
negative,@SouthwestAir i got the call from RDU that my baggage is there except that doesn't help me bc i can't get it until I'm flying back home.,"Fort Worth, TX",Caucasian,56,mobile
negative,@united Back at the Denver airport and ready for round two today. Ready to get home!,"Hialeah, FL",Hispanic,28,tablet
negative,"@united worst flights I've ever had. ground crew ignored our plane, made me miss flight and now I have to cover the cost of a hotel. #DEN","Kansas City, MO",Caucasian,15,laptop
negative,@USAirways it's unacceptable the way your agents at the gate treat paying customers!!!,"Portland, OR",African American,49,tablet
negative,@AmericanAir it wasn't really about the delay. It was more about being told the engine needed to be troubleshot.  Makes a person paranoid.,"Chandler, AZ",African American,63,laptop
negative,@united the lack of customer service is astounding https://t.co/72RMpkOGwu #2daysofhell,"Raleigh, NC",African American,37,laptop
neutral,@united @NTrustOpen can i go  #GolfUnited,"Fresno, CA",Hispanic,18,laptop
negative,"@united I can’t go back to the airport, I’m working, and won’t have time.  Are you telling me there is seriously no other way?","Buffalo, NY",African American,34,mobile
positive,@united You delayed a connection for customer service today now I'll be able to pay my final respects to a dear family member. Thank you :),"San Jose, CA",African American,33,tablet
negative,@USAirways  ok my 4th try today....giving up at 12.45am after 138 minute hold time. #terrible http://t.co/Ps9Q9RPSiL,"New York, NY",Hispanic,26,laptop
negative,@AmericanAir pls help. This is seriously beyond ridiculous.,"Arlington, TX",Hispanic,64,mobile
negative,@USAirways Sitting at the gate on Flight 719 for an hour due to Sabre being down. What backup plan is in place if Sabre cannot be fixed?,"Rochester, NY",African American,31,laptop
negative,@AmericanAir Yes. Your service in GUC sucks. Your gate agent pushed a passenger and has been rude to everyone since we got here.,"Chicago, IL",Hispanic,18,mobile
negative,@USAirways 1 person to check in 50 people and the plane boards in 20 minutes and he is telling people @AmericanAir exec bene's not honored,"Rochester, NY",Caucasian,34,laptop
negative,@AmericanAir rude gate agent by AA363 ORD-LGA just now. Seems to have a temper. Made me check in a bag that fit INSIDE the sizer.,"Reno, NV",African American,43,mobile
negative,@SouthwestAir even with the 50$ voucher for picking up my bag,"New York, NY",Hispanic,35,laptop
negative,"@USAirways horrible service, wrong plane arrived, many confirmed passengers could not get on flight we paid for due to lack of seats flight","Aurora, CO",African American,61,laptop
negative,@AmericanAir Got it worked out. Had to postpone my trip and pay extra though. :/ Not easy for a poor graduate student.,"Memphis, TN",African American,15,laptop
positive,@JetBlue thank you,"Tampa, FL",Hispanic,27,laptop
positive,@united wow you even answered back!  Awesome! @AmericanAir @USAirways That's customer service!!! #usairwaysfail,"Raleigh, NC",Hispanic,49,laptop
negative,@JetBlue @dgruber1700  oh wow and I'm complaining about two hour on the run way shucks JetBlue NOT GOOD your service was better than this,"Phoenix, AZ",Caucasian,30,tablet
neutral,@SouthwestAir 4467 and 152 on 2/25 and 503 and 25 on 2/26th.,"Henderson, NV",Caucasian,25,laptop
negative,@USAirways more than an hour holding to change a flight on the phone now.. What's up with that???,"Madison, WI",African American,24,laptop
negative,"@AmericanAir - So does that mean your other flights going into Buffalo from other locations, you don't care about their safety?","San Francisco, CA",Caucasian,50,mobile
negative,"@USAirways Seriously??? I have shared my concerns four times already, to NO avail!  Geeeeezzzzz! #frustrated flyer","Norfolk, VA",Hispanic,64,mobile
neutral,@united aisle please,"Houston, TX",Hispanic,52,laptop
negative,@AmericanAir Your rubbish at Social Media! In the air two hours Late Flight but that's better than being Cancelled Flightled!,"Plano, TX",Caucasian,64,tablet
negative,@united checked me in through security under the wrong name and given the wrong boarding pass. #AirlineSecurity,"San Jose, CA",Hispanic,60,mobile
negative,"@SouthwestAir Repeating this is policy is basically repeating ""Fuck you"" to your customers. I'll be shopping for a new airline ASAP","Albuquerque, NM",Caucasian,30,laptop
negative,@SouthwestAir 2 hours on hold for customer service never us SW again,"Phoenix, AZ",Hispanic,36,tablet
negative,@JetBlue I just booked a flight with you guys. I'm reconsidering that decision now after reading this tweet.,"Buffalo, NY",Hispanic,64,laptop
negative,"@united thanks. Weather is understandable, but when every single domestic flight is delayed because of inbound int'l flights, it's crazy","Chandler, AZ",African American,47,tablet
negative,"@AmericanAir continues to win: I've never missed a flight before, but a nice little quiet gate change made it possible. Sheesh.","Reno, NV",Hispanic,26,tablet
positive,@united it was delivered! Thank you for making sure it arrived at my doorstep!,"Fort Worth, TX",Asian,49,mobile
positive,@JetBlue Thank you so much!  I wasn't sure since in know the limit is 4 ozs. Excited to fly with JetBlue!,"Las Vegas, NV",African American,27,mobile
negative,@AmericanAir @travisamex It's not the weather. It's also gross incompetence. Understaffing. Crew forgetting to load bags. Don't duck truth.,"Memphis, TN",Hispanic,49,laptop
negative,@USAirways who do I contact about my awful experience I had 2/15/15 with @USAirways Flight 713 BUF-CLT?,"Austin, TX",African American,48,tablet
negative,@USAirways -1st x told no travel advisory-now TWO hrs on hold &amp; disconnected. Fl from BHM to Charlotte to PHL won't go-HELP!!!,"Miami, FL",Asian,49,tablet
negative,@united has happened on other airlines and they've given out flight vouchers and been more transparent about the problems.,"Henderson, NV",Caucasian,58,tablet
negative,@united didn't get her name. She was not in our group. She was sitting behind us. Think it was window seat #40? We only overheard...,"Fresno, CA",Caucasian,35,mobile
neutral,@SouthwestAir I have a child traveling cross country...she's 11 will be turning 12 in march...and (cont) http://t.co/Enh1keUUTd,"Saint Paul, MN",Hispanic,49,mobile
neutral,@SouthwestAir following!! My bad.,"Lubbock, TX",Asian,49,tablet
positive,@united Thank you! You need to follow back tho otherwise I can't DM you. X,"Winston-Salem, NC",African American,59,mobile
negative,@SouthwestAir 4 flights Cancelled Flightled in one week?! Customer Service is 💩💩💩💩,"Orlando, FL",Caucasian,50,tablet
positive,@JetBlue okay awesome! Thank you!,"Rochester, NY",Hispanic,59,laptop
negative,@united Our flight was originally supposed to leave at 1:40pm &amp; now we won't leave until 5. This is the 2nd time this has happened,"Nashville, TN",Caucasian,30,mobile
negative,"@AmericanAir I'd just like to know where my bag is, when I'll get it and why I don't have it already. No accountability from Cust Service.","Tulsa, OK",African American,58,mobile
negative,"@united appreciate it, but changing time by 10 min multiple times 6 hours before flight is just annoying and seems like you have 0 clue","Omaha, NE",African American,31,tablet
negative,@USAirways pilot forgets to show up to work and Ricky J (gate agent) gives customers attitude. #usairwaysfail,"Henderson, NV",African American,35,mobile
positive,"@united Thanks! LOL! #UA6259 will wait for us. Per @flightaware, same tail number as #UA5525 :)","Tampa, FL",Hispanic,64,laptop
negative,@USAirways Big fail on not having curbside baggage in Pittsburgh and you charge 30 dollars a bag!!,"Miami, FL",Hispanic,43,tablet
negative,"@SouthwestAir Problem is, I wasn't issued a position until today at the gate. And no option to upgrade. Not good when you're 6'4.","Toledo, OH",African American,55,tablet
neutral,@SouthwestAir Not possible to carry-on and put in a closet/overhead? Had success doing that with other airlines. Thanks,"Detroit, MI",Hispanic,20,mobile
neutral,@JetBlue A month ago I had a flight booked but then had to Cancelled Flight it... I'm now Flight Booking Problems a separate flight for a different occasion.,"Pittsburgh, PA",African American,47,tablet
negative,@AmericanAir stranded in Miami because your automated system keeps hanging up on me for two days. Help !,"Chula Vista, CA",African American,36,laptop
negative,@SouthwestAir What's up with the wait times on your customer service line? Tried 2X on Fri. and now I've been on for over 15 min.,"St. Louis, MO",African American,51,laptop
negative,@united by the time I finally get to Dallas I could have driven with less frustration and cheaper.,"St. Petersburg, FL",Hispanic,25,laptop
negative,@AmericanAir Not true!! Stop making excuses! You either overbook or have crappy planes!,"Mesa, AZ",African American,49,tablet
neutral,@JetBlue you guys get rid of the hip hop stations on Sirius XM?,"Austin, TX",African American,39,laptop
negative,@JetBlue Need your help. I'm moving to DC &amp; I want to book a one way fare on your website. It won't seem to let me. Am I missing something?,"San Jose, CA",Caucasian,49,mobile
neutral,@JetBlue can you DM?,"Mesa, AZ",African American,47,mobile
negative,@united how much longer United?? Been on the phone for over an hour to straighten out a star alliance upgrade!!! http://t.co/U1ViEuiDF5,"Oklahoma City, OK",Hispanic,35,mobile
negative,"@USAirways this is ridiculous.  I have a 6:00 AM flight and two hours of rest, wasted!!!","Hialeah, FL",Hispanic,60,tablet
negative,@USAirways How many agents do you have working to handle the thousands of calls?,"Kansas City, MO",African American,52,mobile
negative,STOP. USING.THIS.WORD. IF. YOU'RE. A. COMPANY. RT @JetBlue: Our fleet's on fleek. http://t.co/Fd2TNYcTrB,"Oklahoma City, OK",Caucasian,24,tablet
negative,@SouthwestAir been on hold for 20 mins to Cancelled Flight my reservation. Can you assist?,"Tucson, AZ",Native American,39,laptop
negative,@AmericanAir you have said the same thing to me over and over again but phrased differently. How about some actual help?,"Tulsa, OK",Hispanic,50,laptop
positive,"@eatgregeat WOW~Thx for thinking of us, Greg! Heard #SOBEWFF was amazing! We've heard the same about @JetBlue (ps thx for the info) #TeamNKH","Baltimore, MD",African American,28,mobile
negative,@united this is very disappointing. This is about customer service.,"Chandler, AZ",Caucasian,56,tablet
negative,@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!,"Lexington, KY",African American,36,tablet
negative,@USAirways is the worst. 45 minute delay in Boston. Not weather reLate Flightd. Going to miss our connecting flight. Gassing up the plane issue.,"Louisville, KY",African American,52,tablet
negative,@united well if you don't want your customers to be frustrated compensate them appropriately when you screw up royally!! #fakesincerity,"Pittsburgh, PA",Hispanic,45,laptop
negative,@united I am appalled at your lack of communication during our awful journey on 2/21 EWR to BOS. 4 hr delays need to be explained better.,"Stockton, CA",Caucasian,33,laptop
negative,"@AmericanAir aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit Sunday. #nocareforcustomers","New Orleans, LA",Asian,50,laptop
negative,@united I can't even look at you right now. I'll call you when I'm not so mad.,"Fresno, CA",Caucasian,34,tablet
negative,"Thanks @united, great news that u won't refund tickets due to a bad exchange rate. I knew u would come to your senses @gg8929 @UnitedAppeals","Los Angeles, CA",African American,40,mobile
negative,@USAirways Been tweeting with the team at @AmericanAir who informed me that the problem is that you never sent his bags to them yesterday.,"Atlanta, GA",Asian,28,mobile
negative,@SouthwestAir almost bumped me off my flight to HRL when I was 20 minutes early then your staff was rude when I asked what was the problem?,"El Paso, TX",Hispanic,65,mobile
neutral,@JetBlue I hear that the new thing in your planes are the Fly-Fi. How I can check if the flight that Im going to take have it?,"Laredo, TX",African American,49,mobile
negative,@SouthwestAir No like I said I could not reach anyone at your company so I had to rent a car and chalk the whole thing up to a loss,"Jacksonville, FL",Hispanic,36,tablet
negative,@AmericanAir you guys are killing me. http://t.co/22iPGeIcSm,"Greensboro, NC",Hispanic,42,mobile
negative,@united I need help with a missing bag.,"San Diego, CA",Hispanic,49,tablet
negative,@USAirways and I can't get through on any phones,"Baltimore, MD",Caucasian,47,laptop
negative,@USAirways Stop reposting same autoresponse  That was return flight home #imateacher. Couldnt get to RSW  #neptune#waivethefee #notmyfault,"San Francisco, CA",Hispanic,27,mobile
negative,@USAirways I spoke with a customer service rep who was rude and curt and transferred me to eternal hold. Sad. #badservice #mergerdisaster,"Oakland, CA",Caucasian,39,tablet
positive,"@united cool, thanks.","Lubbock, TX",Hispanic,15,mobile
negative,@USAirways @AmericanAir 28 hours Late Flightr still no email. work supervisor needs documentation to approve last minute vacation day request,"Greensboro, NC",Caucasian,63,tablet
negative,"@SouthwestAir AH - did DM, no reply. On hold now over 2hrs. Just spent over $1k to get a United flight tmrw to get home. #lame","Houston, TX",Caucasian,24,laptop
neutral,@JetBlue SHUT THE DOOR ON YOUR WAY OUT. 🙅,"Fort Wayne, IN",African American,59,laptop
neutral,@JetBlue The Opal Dragon book The Dragon (ALI) has woven his murdering ways from the Philippines to Australia http://t.co/ltwhmOL1Dr,"Plano, TX",African American,48,tablet
negative,@SouthwestAir okaaaaay UGH IM 8 MIN AWAY,"Riverside, CA",Caucasian,54,laptop
negative,"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well","Portland, OR",Caucasian,19,mobile
negative,@AmericanAir 4th flight rebooked to is NOT Cancelled Flighted! Woo-hoo. Going to make it to @LaGuardiaAir,"Chicago, IL",Caucasian,34,laptop
negative,"@AmericanAir I really can't there though to an agent, and I am worried about my reservation. Can you help me out!","Anchorage, AK",African American,52,laptop
negative,@USAirways There isn't a ticket number...the transaction is still pending.,"Greensboro, NC",Caucasian,43,tablet
neutral,@united I am on 1528 and my connecting flight is 909,"Virginia Beach, VA",Hispanic,49,mobile
positive,@AmericanAir but your flight crews &amp; ground crews have handled situation well. Texting notification let me catch a few winks during delay.,"Anchorage, AK",African American,50,tablet
negative,@JetBlue I am heading to JFK now just on principle alone to deal w my lost &amp; damaged bag. #jetblue #jetbluesucks #jfk #badservice #fail,"San Jose, CA",African American,52,tablet
negative,"@united thanks for that advice, so helpful. Can't believe you guys actually charge people to ""fly"" united","Fresno, CA",Asian,30,tablet
positive,"@SouthwestAir I made it! Heading to Denver, and your employees really are as pleasant as I just told someone your application asks.  Thanks!","Omaha, NE",Hispanic,50,tablet
positive,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍,"Las Vegas, NV",African American,49,mobile
negative,@USAirways this is more than having patience. This is not acceptable. http://t.co/N7pSuEJDC8,"Pittsburgh, PA",Caucasian,56,laptop
negative,@united Thanks for remembering to load my bag onto my connecting flight. Oh wait you forgot. Iceland should be fun with no clothes....,"Winston-Salem, NC",Asian,49,mobile
negative,@united what about the poor customer service at checkin at Kansas KCI?!? That's it???,"Tampa, FL",African American,64,tablet
neutral,@united Terminal 1 gate B3. Flt 1299. Then take her to Terminal 5. Gate M13. Swiss Air LX009,"Laredo, TX",Caucasian,15,tablet
negative,@AmericanAir I want to speak to a human being! !!  This is not an obscene request!,"Cincinnati, OH",African American,15,tablet
neutral,@USAirways can I bring mini bottles of booze on to my flight?,"Chicago, IL",Native American,33,mobile
negative,@united maybemange the airline alittlebetter. Arrived at LAX and no GATE! #howisthatpossible always the same thing w/u,"Newark, NJ",African American,33,tablet
positive,@SouthwestAir I want one!,"St. Louis, MO",Caucasian,64,tablet
negative,@AmericanAir your call system is a fucking joke,"Rochester, NY",Hispanic,40,laptop
negative,@usairways I’m cool with weather delays etc. But lying and deceiving passengers to keep them from changing is reprehensible. #yousuck,"Las Vegas, NV",African American,40,tablet
positive,@JetBlue sent :-) curious to see what kind of comp we get.,"San Antonio, TX",Caucasian,21,mobile
negative,"@JetBlue don't just cling on to the safety card. It safety was really an issue, then flight would have landed immediately. .","Sacramento, CA",Hispanic,48,tablet
negative,@AmericanAir I've called that and they said they can't help me and it's out of their hands. I really feel like an under appreciated customer,"El Paso, TX",Caucasian,51,laptop
negative,"@united I was told it was due to be on UA23 which flies direct to Dublin, so why did it go to London? This is a complete shambles!","Phoenix, AZ",Caucasian,35,mobile
negative,@JetBlue Well being on time is not going to happen now. Safety does come 1at. Looks like I'll have 2 look 4 another flight now #1stTimeFlyer,"El Paso, TX",African American,36,laptop
negative,"@USAirways customer service failure aside, one would think you guys would care about inaccurate manifests. I'm sure TSA would.","Kansas City, MO",Caucasian,49,laptop
negative,"@USAirways Flights 890 was the delay, Flight 5136 was my missed connection… Help!","Greensboro, NC",Caucasian,39,laptop
neutral,@SouthwestAir DAL is due for sleet Sun. eve-didn't see it listed for cities that can re-book?  Fly to DCA at 8:10,"Austin, TX",African American,36,laptop
neutral,@SouthwestAir sent,"Houston, TX",Hispanic,56,mobile
negative,@USAirways #usairways Raleigh NC; baggage carousel staff were aggressive towards people waiting 1 1/2 hrs for bags. Flight 699,"Orlando, FL",African American,49,mobile
neutral,@AmericanAir - trying to track down backs for two of my attendees #help,"Memphis, TN",Asian,49,mobile
neutral,@united any chance you could look into my problem from earlier?,"Louisville, KY",Asian,49,mobile
negative,@united I would like a supervisor to talk to. Now we are waiting for a flight attendant as one just walked off &amp; left http://t.co/IpaamZT7Z2,"Madison, WI",African American,43,tablet
negative,@USAirways can I get free wifi since the flight 1808 was Cancelled Flightled?,"Tucson, AZ",African American,52,laptop
negative,@USAirways I'm tired of paying for luggage &amp; less than stellar customer service @AmericanAir. #notafanofyourmerger,"Stockton, CA",African American,49,laptop
